REF_AREA,ACTIVITY,OBS_VALUE,TIME_PERIOD,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,distance,nombre_actividad,clase_titulo,seccion_codigo,seccion_titulo,division_titulo
HND,810,194.0,2019,53,11,0,-1.1439451466634083,-1.8680238583022497,0.289431240958284,0.02175665854353447,0.12483449246495161,0.3593023758836715,0.710568759041716,"Extracción de piedra de cantera, arena y arcilla","Extracción de piedra, arena y arcilla",B,Explotación de minas y canteras,Explotación de otras minas y canteras
HND,899,5.0,2019,53,9,0,-1.1439451466634083,0.7375322912206715,0.25054109691625753,0.02175665854353447,0.6541646338167234,0.2213869302992535,0.7494589030837424,Explotación de otras minas y canteras n.c.p.,Explotación de otras minas y canteras n.c.p.,B,Explotación de minas y canteras,Explotación de otras minas y canteras
HND,910,1027.0,2019,53,4,1,-1.1439451466634083,-3.408596860739333,0.42263998419090654,0.02175665854353447,0.0,4.763077725360529,0.5773600158090935,Actividades de apoyo para la extracción de petróleo y gas natural,Actividades de apoyo para la extracción de petróleo y gas natural,B,Explotación de minas y canteras,Actividades de servicios de apoyo para la explotación de minas y canteras
HND,990,243.0,2019,53,6,1,-1.1439451466634083,-2.476831072126863,0.32437283138605266,0.02175665854353447,0.0,2.917234493004595,0.6756271686139473,Actividades de apoyo para otras actividades de explotación de minas y canteras,Actividades de apoyo para otras actividades de explotación de minas y canteras,B,Explotación de minas y canteras,Actividades de servicios de apoyo para la explotación de minas y canteras
HND,1010,5988.0,2019,53,11,1,-1.1439451466634083,-2.731995505386203,0.34509739840240783,0.02175665854353447,0.0,1.4623889718176992,0.6549026015975922,Elaboración y conservación de carne,Elaboración y conservación de carne,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1020,2923.0,2019,53,9,1,-1.1439451466634083,-1.1103123227429392,0.3607107035345514,0.02175665854353447,0.0,3.4558862960650076,0.6392892964654486,"Elaboración y conservación de pescado, crustáceos y moluscos","Elaboración y conservación de pescado, crustáceos y moluscos",C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1030,5454.0,2019,53,11,1,-1.1439451466634083,-2.337784346775491,0.35265379522611473,0.02175665854353447,0.0,4.015704081206445,0.6473462047738853,"Elaboración y conservación de frutas, legumbres y hortalizas","Elaboración y conservación de frutas, legumbres y hortalizas",C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1040,3994.0,2019,53,12,1,-1.1439451466634083,-1.9593409587785482,0.35295146243190256,0.02175665854353447,0.0,13.511767274628676,0.6470485375680974,Elaboración de aceites y grasas de origen vegetal y animal,Elaboración de aceites y grasas de origen vegetal y animal,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1050,4783.0,2019,53,15,1,-1.1439451466634083,-0.6257769830589928,0.3336298932384341,0.02175665854353447,0.0,2.740858584307015,0.6663701067615659,Elaboración de productos lácteos,Elaboración de productos lácteos,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1061,0.0,2019,53,11,0,-1.1439451466634083,-0.4499391441890539,0.29198541394854965,0.02175665854353447,0.4786062143126439,0.0,0.7080145860514504,Elaboración de productos de molienda,Elaboración de productos de molinería,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1062,330.0,2019,53,9,1,-1.1439451466634083,1.3175394917602476,0.29306013703046313,0.02175665854353447,0.0,5.048642778795328,0.7069398629695369,Elaboración de almidones y productos derivados del almidón,Elaboración de almidones y productos derivados del almidón,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1071,4601.0,2019,53,9,0,-1.1439451466634083,-1.2624531832420365,0.281675883409271,0.02175665854353447,0.4639193169030766,0.7821276461567264,0.718324116590729,Elaboración de productos de panadería,Elaboración de productos de panadería,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1072,2489.0,2019,53,7,1,-1.1439451466634083,-3.259271699797899,0.3827046578188626,0.02175665854353447,0.0,12.230604852198885,0.6172953421811374,Elaboración de azúcar,Elaboración de azúcar,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1073,200.0,2019,53,10,0,-1.1439451466634083,-2.6800711373117734,0.31675174305703735,0.02175665854353447,-0.001967946706596952,0.2553604991824546,0.6832482569429627,Elaboración de cacao y chocolate y de productos de confitería,Elaboración de cacao y chocolate y de productos de confitería,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1074,77.0,2019,53,8,0,-1.1439451466634083,-2.0531477857167135,0.2788361455114686,0.02175665854353447,0.24450883978222615,0.3306011816847896,0.7211638544885314,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares","Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1075,41.0,2019,53,7,0,-1.1439451466634083,4.148892242540875,0.2186694170229965,0.02175665854353447,1.3264426203427897,0.09738461871116452,0.7813305829770035,Elaboración de comidas y platos preparados,Elaboración de comidas y platos preparados,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1079,2207.0,2019,53,10,1,-1.1439451466634083,-1.7616518685526699,0.3492334865102947,0.02175665854353447,0.0,1.5522354661867195,0.6507665134897054,Elaboración de otros productos alimenticios n.c.p.,Elaboración de otros productos alimenticios n.c.p.,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1080,2036.0,2019,53,13,1,-1.1439451466634083,-0.8791064590615604,0.33708980787370274,0.02175665854353447,0.0,3.4663813579651976,0.6629101921262972,Elaboración de alimentos preparados para animales,Elaboración de piensos preparados para animales,C,Industrias manufactureras,Elaboración de productos alimenticios
HND,1101,87.0,2019,53,12,0,-1.1439451466634083,-1.4507976531168407,0.30246116440559306,0.02175665854353447,0.2650512235410507,0.43357027265615716,0.697538835594407,"Destilación, rectificación y mezcla de bebidas alcohólicas","Destilación, rectificación y mezcla de bebidas alcohólicas",C,Industrias manufactureras,Elaboración de bebidas
HND,1102,1.0,2019,53,6,0,-1.1439451466634083,-1.8124472961620488,0.28929539029784257,0.02175665854353447,0.23681379002979558,0.02177105981233647,0.7107046097021574,Elaboración de vinos,Elaboración de vinos,C,Industrias manufactureras,Elaboración de bebidas
HND,1103,925.0,2019,53,11,1,-1.1439451466634083,-0.31493009622355383,0.3299177073441091,0.02175665854353447,0.0,2.421855100444921,0.6700822926558909,Elaboración de malta y licores de malta,Elaboración de bebidas malteadas y de malta,C,Industrias manufactureras,Elaboración de bebidas
HND,1104,6607.0,2019,53,11,1,-1.1439451466634083,-3.071884556856553,0.3696442969814365,0.02175665854353447,-0.0,9.89101738002087,0.6303557030185635,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas,C,Industrias manufactureras,Elaboración de bebidas
HND,1200,5280.0,2019,53,9,1,-1.1439451466634083,-3.5189969768387517,0.3441931542914597,0.02175665854353447,-0.0,25.998671960129908,0.6558068457085403,Elaboración de productos de tabaco,Elaboración de productos de tabaco,C,Industrias manufactureras,Elaboración de productos de tabaco
HND,1311,9914.0,2019,53,8,1,-1.1439451466634083,-2.1418306847135997,0.35016551955158653,0.02175665854353447,0.0,31.933409069534683,0.6498344804484135,Preparación e hilatura de fibras textiles,Preparación e hilatura de fibras textiles,C,Industrias manufactureras,Fabricación de productos textiles
HND,1312,276.0,2019,53,5,0,-1.1439451466634083,0.363028432342907,0.23651011328041965,0.02175665854353447,0.7359871161190346,0.7152692950248446,0.7634898867195803,Tejedura de productos textiles,Tejedura de productos textiles,C,Industrias manufactureras,Fabricación de productos textiles
HND,1313,71320.0,2019,53,5,1,-1.1439451466634083,-1.279129062664207,0.34658518125179266,0.02175665854353447,0.0,100.28568345824776,0.6534148187482074,Acabado de productos textiles,Acabado de productos textiles,C,Industrias manufactureras,Fabricación de productos textiles
HND,1391,2839.0,2019,53,7,1,-1.1439451466634083,-1.567692338093346,0.33163610706749513,0.02175665854353447,0.0,26.869275079678527,0.6683638929325049,Fabricación de tejidos de punto y ganchillo,Fabricación de tejidos de punto y ganchillo,C,Industrias manufactureras,Fabricación de productos textiles
HND,1392,9677.0,2019,53,11,1,-1.1439451466634083,-3.060874918034072,0.3459604323796983,0.02175665854353447,0.0,13.381233115486468,0.6540395676203017,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir","Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",C,Industrias manufactureras,Fabricación de productos textiles
